City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Kostino,RU,2024-05-16 23:50:32,58.9097,53.2691,46.96,97,100,5.99
207,Inhambane,MZ,2024-05-16 23:50:32,-23.865,35.3833,66.56,84,0,4.16
208,Balkanabat,TM,2024-05-16 23:50:32,39.5108,54.3671,70.59,52,80,8.32
209,Bouar,CF,2024-05-16 23:50:32,5.934,15.596,70.56,67,77,1.05
210,San Miguel,SV,2024-05-16 23:50:33,13.4833,-88.1833,89.26,70,20,3.44
211,Quatre Cocos,MU,2024-05-16 23:50:33,-20.2078,57.7625,73.51,61,97,14.72
212,Dhadar,IN,2024-05-16 23:50:33,28.3305,75.0632,92.14,14,50,10.2
213,Isabela,PH,2024-05-16 23:50:33,6.7085,121.9711,82.45,70,25,0.96
214,Sainte-Marie,RE,2024-05-16 23:50:34,-20.8968,55.5496,69.93,64,0,11.5
215,Purpe,RU,2024-05-16 23:50:34,64.4803,76.6897,30.11,95,100,15.84
216,Santa Maria,BR,2024-05-16 23:46:44,-29.6842,-53.8069,52.9,100,75,2.3
217,Iqaluit,CA,2024-05-16 23:50:34,63.7506,-68.5145,26.33,79,40,4.61
218,Gaya,IN,2024-05-16 23:49:12,24.7833,85.0,82.31,65,40,2.3
219,Mbandaka,CD,2024-05-16 23:50:34,0.0487,18.2603,73.4,88,69,1.79
220,Yzeure,FR,2024-05-16 23:50:35,46.5644,3.355,44.19,99,93,1.21
221,Marica,BR,2024-05-16 23:50:35,-22.9194,-42.8186,75.15,91,80,7.38
222,Cordoba,AR,2024-05-16 23:50:35,-31.4135,-64.1811,51.76,63,0,5.75
223,Matagami,CA,2024-05-16 23:50:35,49.7502,-77.6328,62.71,36,0,4.61
224,Hukuntsi,BW,2024-05-16 23:50:35,-24.0,21.75,60.13,34,0,6.69
225,Saint-Leu,RE,2024-05-16 23:50:36,-21.15,55.2833,68.83,67,84,3.94
226,Meiningen,DE,2024-05-16 23:50:36,50.5679,10.4152,55.81,96,92,3.8
227,Walvis Bay,NA,2024-05-16 23:50:36,-22.9575,14.5053,76.08,33,0,4.9
228,Hambantota,LK,2024-05-16 23:51:36,6.1241,81.1185,79.09,85,100,5.61
229,Pangnirtung,CA,2024-05-16 23:51:36,66.1451,-65.7125,19.53,92,37,2.68
230,Rovaniemi,FI,2024-05-16 23:51:37,66.5,25.7167,45.81,65,0,9.22
231,Harper,LR,2024-05-16 23:51:37,4.375,-7.7169,79.18,89,100,6.15
232,San Bartolome De Tirajana,ES,2024-05-16 23:51:37,27.9248,-15.5733,59.47,70,75,12.66
233,Camopi,GF,2024-05-16 23:51:37,3.1655,-52.3158,75.29,99,100,1.99
234,Kutum,SD,2024-05-16 23:51:37,14.2,24.6667,72.73,15,11,9.22
235,Bom Jesus,BR,2024-05-16 23:51:37,-9.0744,-44.3586,74.75,33,0,2.42
236,Los Llanos De Aridane,ES,2024-05-16 23:51:38,28.6585,-17.9182,64.15,90,100,11.5
237,Mariental,NA,2024-05-16 23:51:38,-24.6333,17.9667,66.87,30,0,7.85
238,Tarko-Sale,RU,2024-05-16 23:51:38,64.9225,77.785,28.87,84,72,15.59
239,Codrington,AU,2024-05-16 23:51:38,-38.2667,141.9667,58.77,79,66,14.41
240,Elizabethtown,US,2024-05-16 23:51:38,37.694,-85.8591,76.98,57,0,0.0
241,Necochea,AR,2024-05-16 23:51:39,-38.5473,-58.7368,50.94,86,100,8.75
242,Qasigiannguit,GL,2024-05-16 23:51:39,68.8193,-51.1922,25.05,86,2,4.56
243,Saint-Pierre,RE,2024-05-16 23:51:39,-21.3393,55.4781,64.08,55,0,5.75
244,Kamenka,RU,2024-05-16 23:51:39,51.3223,42.7678,40.75,93,15,5.88
245,Valparaiso,CL,2024-05-16 23:51:39,-33.0393,-71.6273,57.0,54,0,3.44
246,Batsfjord,NO,2024-05-16 23:51:39,70.6345,29.7185,35.53,86,100,5.75
247,Wanlaweyn,SO,2024-05-16 23:51:40,2.6185,44.8938,77.38,91,83,11.92
248,Razole,IN,2024-05-16 23:51:40,16.4833,81.8333,75.49,92,99,2.42
249,Boyabat,TR,2024-05-16 23:51:40,41.4689,34.7667,45.66,89,43,2.33
250,Ilinskiy,RU,2024-05-16 23:51:40,55.619,38.1182,57.58,85,0,8.95
251,Faya,SA,2024-05-16 23:51:40,18.3851,42.4509,64.92,58,62,2.64
252,Kalmunai,LK,2024-05-16 23:51:41,7.4167,81.8167,77.7,91,100,3.98
253,Saint Anthony,US,2024-05-16 23:51:41,45.0205,-93.218,70.66,54,75,11.5
254,Hun,LY,2024-05-16 23:51:41,29.1268,15.9477,91.24,11,60,19.26
255,Vardo,NO,2024-05-16 23:51:41,70.3705,31.1107,33.78,86,100,4.61
256,Paamiut,GL,2024-05-16 23:51:41,61.994,-49.6678,32.2,81,95,14.2
257,Gemena,CD,2024-05-16 23:51:42,3.25,19.7667,75.09,74,17,2.26
258,Pitimbu,BR,2024-05-16 23:51:42,-7.4706,-34.8086,79.39,78,13,11.07
259,Antofagasta,CL,2024-05-16 23:51:42,-23.65,-70.4,60.08,87,61,4.83
260,Saint George,US,2024-05-16 23:48:55,37.1041,-113.5841,92.43,10,0,6.91
261,Marienburg,PL,2024-05-16 23:51:42,54.0359,19.0266,56.88,68,0,9.8
262,Nhamunda,BR,2024-05-16 23:51:42,-2.1861,-56.7131,77.2,92,86,2.86
263,Pangody,RU,2024-05-16 23:51:43,65.85,74.4859,19.85,90,52,10.8
264,Marburg,DE,2024-05-16 23:51:43,50.8167,8.7667,57.15,96,95,4.36
265,Sorland,NO,2024-05-16 23:51:43,67.667,12.6934,49.86,79,58,9.78
